county,capita
"Pirmasens, kreisfreie Stadt",40231
Plön,128686
Potsdam,180334
Potsdam-Mittelmark,216566
Prignitz,76158
Rastatt,231420
Ravensburg,285424
Recklinghausen,614137
Regen,77410
Regensburg,153094
Regensburg,194070
Region Hannover,1157115
Regionalverband Saarbrücken,328714
Rems-Murr-Kreis,427248
Remscheid,111338
Rendsburg-Eckernförde,274098
Reutlingen,287034
Rhein-Erft-Kreis,470615
Rhein-Hunsrück-Kreis,103163
Rhein-Kreis Neuss,451730
Rhein-Lahn-Kreis,122297
Rhein-Neckar-Kreis,548355
Rhein-Pfalz-Kreis,154609
Rhein-Sieg-Kreis,600764
Rheingau-Taunus-Kreis,187160
Rheinisch-Bergischer Kreis,283271
Rhön-Grabfeld,79635
Rosenheim,63551
Rosenheim,261330
Rostock,209191
Rotenburg (Wümme),163782
Roth,126749
Rottal-Inn,121502
Rottweil,139878
Saale-Holzland-Kreis,82950
Saale-Orla-Kreis,80312
Saalekreis,183815
Saalfeld-Rudolstadt,103199
Saarlouis,194319
Saarpfalz-Kreis,142196
Sächsische Schweiz-Osterzgebirge,245586
Salzgitter,104291
Salzlandkreis,189125
Schaumburg,157820
Schleswig-Flensburg,201156
Schmalkalden-Meiningen,124916
Schwabach,40981
Schwäbisch Hall,196761
Schwalm-Eder-Kreis,179673
Schwandorf,147872
Schwarzwald-Baar-Kreis,212506
Schweinfurt,53426
Schweinfurt,115445
Schwerin,95653
Segeberg,277175
Siegen-Wittgenstein,276944
Sigmaringen,130849
Soest,301785
Solingen,159245
Sömmerda,69427
Sonneberg,57717
"Speyer, kreisfreie Stadt",50561
Spree-Neiße,113720
St. Wendel,87007
Stade,204512
Städteregion Aachen,557026
Starnberg,136667
Steinburg,131013
Steinfurt,448220
Stendal,111190
Stormarn,244156
Straubing,47791
Straubing-Bogen,101120
Stuttgartkreis,635911
Südliche Weinstraße,110521
Südwestpfalz,94831
Suhl,36789
Teltow-Fläming,169997
Tirschenreuth,72046
Traunstein,177319
Trier-Saarburg,149398
"Trier, kreisfreie Stadt",111528
Tübingen,228678
Tuttlingen,140766
Uckermark,118947
Uelzen,92389
Ulmkreis,126790
Unna,394891
Unstrut-Hainich-Kreis,102232
Unterallgäu,145341
Vechta,142814
Verden,137133
Viersen,298863
Vogelsbergkreis,105643
Vogtlandkreis,225997
Vorpommern-Greifswald,235623
Vorpommern-Rügen,224702
Vulkaneifel,60646
Waldeck-Frankenberg,156406
Waldshut,171003
Warendorf,277840
Wartburgkreis,118974
Weiden i.d.OPf.,42743
Weilheim-Schongau,135478
Weimar,65228
Weimarer Land,82156
Weißenburg-Gunzenhausen,94734
Werra-Meißner-Kreis,100629
Wesel,459976
Wesermarsch,88583
Westerwaldkreis,201904
Wetteraukreis,308339
Wiesbaden,278474
Wilhelmshaven,76089
Wittenberg,124953
Wittmund,56926
Wolfenbüttel,119622
Wolfsburg,124371
"Worms, kreisfreie Stadt",83542
Wunsiedel i.Fichtelgebirge,72655
Wuppertal,355100
Würzburg,127934
Würzburg,162302
Zollernalbkreis,189363
"Zweibrücken, kreisfreie Stadt",34193
Zwickau,315002
